start,outcome,L_G0,L_G1,delta
Audiobooks,Out_BasicAccess,,,
Audiobooks,Out_SecuredLogin,5,4,-1
Audiobooks,Out_AllMedia,2,2,0
Audiobooks,Out_Payments,5,4,-1
Audiobooks,Out_Personalized,5,4,-1
Audiobooks,Out_AllContent,2,2,0
Audiobooks,ConsentSaved,4,2,-2
Audiobooks,OutcomeTelemetry,2,2,0
ContactUs,Out_BasicAccess,,,
ContactUs,Out_SecuredLogin,1,1,0
ContactUs,Out_AllMedia,5,4,-1
ContactUs,Out_Payments,5,4,-1
ContactUs,Out_Personalized,5,4,-1
ContactUs,Out_AllContent,2,2,0
ContactUs,ConsentSaved,4,2,-2
ContactUs,OutcomeTelemetry,2,2,0
DigitalMag,Out_BasicAccess,,,
DigitalMag,Out_SecuredLogin,5,4,-1
DigitalMag,Out_AllMedia,2,2,0
DigitalMag,Out_Payments,5,4,-1
DigitalMag,Out_Personalized,5,4,-1
DigitalMag,Out_AllContent,2,2,0
DigitalMag,ConsentSaved,4,2,-2
DigitalMag,OutcomeTelemetry,2,2,0
Discover,Out_BasicAccess,,,
Discover,Out_SecuredLogin,5,4,-1
Discover,Out_AllMedia,5,4,-1
Discover,Out_Payments,5,4,-1
Discover,Out_Personalized,1,1,0
Discover,Out_AllContent,2,2,0
Discover,ConsentSaved,4,2,-2
Discover,OutcomeTelemetry,2,2,0
Home,Out_BasicAccess,,,
Home,Out_SecuredLogin,2,2,0
Home,Out_AllMedia,3,3,0
Home,Out_Payments,2,2,0
Home,Out_Personalized,1,1,0
Home,Out_AllContent,2,2,0
Home,ConsentSaved,4,2,-2
Home,OutcomeTelemetry,2,2,0
Login,Out_BasicAccess,,,
Login,Out_SecuredLogin,1,1,0
Login,Out_AllMedia,5,4,-1
Login,Out_Payments,5,4,-1
Login,Out_Personalized,5,4,-1
Login,Out_AllContent,5,4,-1
Login,ConsentSaved,4,2,-2
Login,OutcomeTelemetry,5,5,0
Membership,Out_BasicAccess,,,
Membership,Out_SecuredLogin,5,4,-1
Membership,Out_AllMedia,5,4,-1
Membership,Out_Payments,1,1,0
Membership,Out_Personalized,5,4,-1
Membership,Out_AllContent,2,2,0
Membership,ConsentSaved,4,2,-2
Membership,OutcomeTelemetry,2,2,0
SearchBooks,Out_BasicAccess,,,
SearchBooks,Out_SecuredLogin,5,4,-1
SearchBooks,Out_AllMedia,2,2,0
SearchBooks,Out_Payments,5,4,-1
SearchBooks,Out_Personalized,5,4,-1
SearchBooks,Out_AllContent,2,2,0
SearchBooks,ConsentSaved,4,2,-2
SearchBooks,OutcomeTelemetry,2,2,0
Manage,Out_BasicAccess,,,
Manage,Out_SecuredLogin,4,3,-1
Manage,Out_AllMedia,4,3,-1
Manage,Out_Payments,4,3,-1
Manage,Out_Personalized,4,3,-1
Manage,Out_AllContent,4,3,-1
Manage,ConsentSaved,3,2,-1
Manage,OutcomeTelemetry,4,4,0
BannerToast,Out_BasicAccess,,,
BannerToast,Out_SecuredLogin,3,3,0
BannerToast,Out_AllMedia,3,3,0
BannerToast,Out_Payments,3,3,0
BannerToast,Out_Personalized,3,3,0
BannerToast,Out_AllContent,3,3,0
BannerToast,ConsentSaved,2,2,0
BannerToast,OutcomeTelemetry,3,3,0
Entry,Out_BasicAccess,,,
Entry,Out_SecuredLogin,4,4,0
Entry,Out_AllMedia,4,4,0
Entry,Out_Payments,4,4,0
Entry,Out_Personalized,4,4,0
Entry,Out_AllContent,4,4,0
Entry,ConsentSaved,3,3,0
Entry,OutcomeTelemetry,4,4,0
LetMeChoose,Out_BasicAccess,,,
LetMeChoose,Out_SecuredLogin,4,4,0
LetMeChoose,Out_AllMedia,4,4,0
LetMeChoose,Out_Payments,4,4,0
LetMeChoose,Out_Personalized,4,4,0
LetMeChoose,Out_AllContent,4,4,0
LetMeChoose,ConsentSaved,3,3,0
LetMeChoose,OutcomeTelemetry,4,4,0
Modal,Out_BasicAccess,,,
Modal,Out_SecuredLogin,3,3,0
Modal,Out_AllMedia,3,3,0
Modal,Out_Payments,3,3,0
Modal,Out_Personalized,3,3,0
Modal,Out_AllContent,3,3,0
Modal,ConsentSaved,2,2,0
Modal,OutcomeTelemetry,3,3,0
AcceptAll,Out_BasicAccess,,,
AcceptAll,Out_SecuredLogin,2,2,0
AcceptAll,Out_AllMedia,2,2,0
AcceptAll,Out_Payments,2,2,0
AcceptAll,Out_Personalized,2,2,0
AcceptAll,Out_AllContent,2,2,0
AcceptAll,ConsentSaved,1,1,0
AcceptAll,OutcomeTelemetry,2,2,0
Save,Out_BasicAccess,,,
Save,Out_SecuredLogin,2,2,0
Save,Out_AllMedia,2,2,0
Save,Out_Payments,2,2,0
Save,Out_Personalized,2,2,0
Save,Out_AllContent,2,2,0
Save,ConsentSaved,1,1,0
Save,OutcomeTelemetry,2,2,0
