start,outcome,consent_G0,consent_G1b,Δconsent,consent_path_G0,consent_path_G1b,total_G0,total_G1b,Δtotal,total_path_G0,total_path_G1b
Entry,Out_BasicAccess,,,,,,,,,,
Entry,Out_SecuredLogin,,,,,,,,,,
Entry,Out_AllMedia,,,,,,,,,,
Entry,Out_Payments,,,,,,,,,,
Entry,Out_Personalized,,,,,,,,,,
Entry,Out_AllContent,,,,,,,,,,
Entry,ConsentSaved,1,0,-1,Entry —show_banner→ BannerToast —click(accept_all)→ AcceptAll → ConsentSaved,Entry —show_banner→ BannerToast —inline allow→ Quick_ExtMedia → ConsentSaved,3,3,0,Entry —show_banner→ BannerToast —click(accept_all)→ AcceptAll → ConsentSaved,Entry —show_banner→ BannerToast —click(accept_all)→ AcceptAll → ConsentSaved
Entry,OutcomeTelemetry,,,,,,,,,,
BannerToast,Out_BasicAccess,,,,,,,,,,
BannerToast,Out_SecuredLogin,,,,,,,,,,
BannerToast,Out_AllMedia,,,,,,,,,,
BannerToast,Out_Payments,,,,,,,,,,
BannerToast,Out_Personalized,,,,,,,,,,
BannerToast,Out_AllContent,,,,,,,,,,
BannerToast,ConsentSaved,1,0,-1,BannerToast —click(accept_all)→ AcceptAll → ConsentSaved,BannerToast —inline allow→ Quick_ExtMedia → ConsentSaved,2,2,0,BannerToast —click(accept_all)→ AcceptAll → ConsentSaved,BannerToast —click(accept_all)→ AcceptAll → ConsentSaved
BannerToast,OutcomeTelemetry,,,,,,,,,,
Home,Out_BasicAccess,,,,,,,,,,
Home,Out_SecuredLogin,,,,,,,,,,
Home,Out_AllMedia,,,,,,,,,,
Home,Out_Payments,,,,,,,,,,
Home,Out_Personalized,,,,,,,,,,
Home,Out_AllContent,,,,,,,,,,
Home,ConsentSaved,2,0,-2,Home —click(manage)→ Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,Home —requires(analytics)→ AnalyticsSvc —implicit_first_use→ ConsentSaved,4,2,-2,Home —click(manage)→ Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,Home —requires(analytics)→ AnalyticsSvc —implicit_first_use→ ConsentSaved
Home,OutcomeTelemetry,,,,,,,,,,
Discover,Out_BasicAccess,,,,,,,,,,
Discover,Out_SecuredLogin,,,,,,,,,,
Discover,Out_AllMedia,,,,,,,,,,
Discover,Out_Payments,,,,,,,,,,
Discover,Out_Personalized,,,,,,,,,,
Discover,Out_AllContent,,,,,,,,,,
